 ;SB5.0 / Vermogen / Gemiddelde waarden  [kW];
0:15;;
0:30;;
0:45;;
1:00;;
1:15;;
1:30;;
1:45;;
2:00;;
2:15;;
2:30;;
2:45;;
3:00;;
3:15;;
3:30;;
3:45;;
4:00;;
4:15;;
4:30;;
4:45;;
5:00;;
5:15;;
5:30;;
5:45;;
6:00;;
6:15;;
6:30;;
6:45;;
7:00;;
7:15;;
7:30;;
7:45;;
8:00;;
8:15;;
8:30;0,000;
8:45;0,000;
9:00;0,013;
9:15;0,018;
9:30;0,094;
9:45;0,144;
10:00;0,174;
10:15;0,303;
10:30;0,280;
10:45;0,175;
11:00;0,136;
11:15;0,212;
11:30;0,277;
11:45;0,382;
12:00;0,294;
12:15;0,316;
12:30;0,386;
12:45;0,483;
13:00;0,434;
13:15;0,475;
13:30;0,453;
13:45;0,512;
14:00;0,395;
14:15;0,314;
14:30;0,454;
14:45;0,414;
15:00;0,399;
15:15;0,482;
15:30;0,447;
15:45;0,289;
16:00;0,197;
16:15;0,206;
16:30;0,142;
16:45;0,096;
17:00;0,035;
17:15;0,010;
17:30;0,000;
17:45;;
18:00;;
18:15;;
18:30;;
18:45;;
19:00;;
19:15;;
19:30;;
19:45;;
20:00;;
20:15;;
20:30;;
20:45;;
21:00;;
21:15;;
21:30;;
21:45;;
22:00;;
22:15;;
22:30;;
22:45;;
23:00;;
23:15;;
23:30;;
23:45;;
0:00;;
