 ;SB5.0 / Vermogen / Gemiddelde waarden  [kW];
0:15;;
0:30;;
0:45;;
1:00;;
1:15;;
1:30;;
1:45;;
2:00;;
2:15;;
2:30;;
2:45;;
3:00;;
3:15;;
3:30;;
3:45;;
4:00;;
4:15;;
4:30;;
4:45;;
5:00;;
5:15;;
5:30;;
5:45;;
6:00;;
6:15;;
6:30;;
6:45;;
7:00;;
7:15;;
7:30;;
7:45;;
8:00;;
8:15;;
8:30;;
8:45;;
9:00;;
9:15;0,004;
9:30;0,013;
9:45;0,018;
10:00;0,036;
10:15;0,100;
10:30;0,204;
10:45;0,199;
11:00;0,312;
11:15;0,352;
11:30;0,383;
11:45;0,460;
12:00;0,432;
12:15;0,365;
12:30;0,269;
12:45;0,211;
13:00;0,176;
13:15;0,234;
13:30;0,315;
13:45;0,273;
14:00;0,276;
14:15;0,271;
14:30;0,339;
14:45;0,263;
15:00;0,264;
15:15;0,287;
15:30;0,168;
15:45;0,100;
16:00;0,083;
16:15;0,048;
16:30;0,038;
16:45;0,014;
17:00;0,000;
17:15;0,000;
17:30;;
17:45;;
18:00;;
18:15;;
18:30;;
18:45;;
19:00;;
19:15;;
19:30;;
19:45;;
20:00;;
20:15;;
20:30;;
20:45;;
21:00;;
21:15;;
21:30;;
21:45;;
22:00;;
22:15;;
22:30;;
22:45;;
23:00;;
23:15;;
23:30;;
23:45;;
0:00;;
