 ;SB5.0 / Vermogen / Gemiddelde waarden  [kW];
0:15;;
0:30;;
0:45;;
1:00;;
1:15;;
1:30;;
1:45;;
2:00;;
2:15;;
2:30;;
2:45;;
3:00;;
3:15;;
3:30;;
3:45;;
4:00;;
4:15;;
4:30;;
4:45;;
5:00;;
5:15;;
5:30;;
5:45;;
6:00;;
6:15;;
6:30;;
6:45;;
7:00;;
7:15;;
7:30;;
7:45;;
8:00;;
8:15;0,000;
8:30;0,007;
8:45;0,055;
9:00;0,150;
9:15;0,190;
9:30;0,241;
9:45;0,286;
10:00;0,483;
10:15;0,652;
10:30;0,788;
10:45;1,007;
11:00;1,047;
11:15;1,092;
11:30;0,732;
11:45;0,942;
12:00;0,640;
12:15;0,649;
12:30;0,798;
12:45;1,158;
13:00;1,032;
13:15;0,980;
13:30;0,719;
13:45;1,488;
14:00;2,685;
14:15;2,764;
14:30;2,726;
14:45;2,680;
15:00;2,745;
15:15;2,360;
15:30;2,835;
15:45;2,878;
16:00;2,558;
16:15;2,123;
16:30;2,270;
16:45;2,057;
17:00;1,514;
17:15;1,026;
17:30;0,231;
17:45;0,283;
18:00;0,197;
18:15;0,165;
18:30;0,131;
18:45;0,007;
19:00;0,000;
19:15;;
19:30;;
19:45;;
20:00;;
20:15;;
20:30;;
20:45;;
21:00;;
21:15;;
21:30;;
21:45;;
22:00;;
22:15;;
22:30;;
22:45;;
23:00;;
23:15;;
23:30;;
23:45;;
0:00;;
