 ;SB5.0 / Vermogen / Gemiddelde waarden  [kW];
0:15;;
0:30;;
0:45;;
1:00;;
1:15;;
1:30;;
1:45;;
2:00;;
2:15;;
2:30;;
2:45;;
3:00;;
3:15;;
3:30;;
3:45;;
4:00;;
4:15;;
4:30;;
4:45;;
5:00;;
5:15;;
5:30;;
5:45;;
6:00;;
6:15;;
6:30;;
6:45;;
7:00;;
7:15;;
7:30;;
7:45;;
8:00;0,000;
8:15;0,012;
8:30;0,057;
8:45;0,094;
9:00;0,144;
9:15;0,173;
9:30;0,311;
9:45;0,474;
10:00;0,925;
10:15;0,807;
10:30;1,216;
10:45;1,504;
11:00;1,939;
11:15;1,272;
11:30;0,323;
11:45;0,471;
12:00;1,458;
12:15;1,170;
12:30;1,488;
12:45;1,586;
13:00;1,210;
13:15;1,085;
13:30;1,871;
13:45;2,166;
14:00;1,049;
14:15;1,064;
14:30;1,662;
14:45;1,556;
15:00;1,007;
15:15;0,828;
15:30;0,842;
15:45;1,708;
16:00;2,684;
16:15;1,821;
16:30;3,082;
16:45;2,853;
17:00;2,725;
17:15;2,398;
17:30;1,476;
17:45;1,673;
18:00;1,658;
18:15;1,397;
18:30;0,830;
18:45;0,241;
19:00;0,106;
19:15;0,031;
19:30;0,000;
19:45;;
20:00;;
20:15;;
20:30;;
20:45;;
21:00;;
21:15;;
21:30;;
21:45;;
22:00;;
22:15;;
22:30;;
22:45;;
23:00;;
23:15;;
23:30;;
23:45;;
0:00;;
