 ;SB5.0 / Vermogen / Gemiddelde waarden  [kW];
0:15;;
0:30;;
0:45;;
1:00;;
1:15;;
1:30;;
1:45;;
2:00;;
2:15;;
2:30;;
2:45;;
3:00;;
3:15;;
3:30;;
3:45;;
4:00;;
4:15;;
4:30;;
4:45;;
5:00;;
5:15;;
5:30;;
5:45;;
6:00;;
6:15;;
6:30;;
6:45;;
7:00;;
7:15;;
7:30;;
7:45;;
8:00;0,000;
8:15;0,006;
8:30;0,043;
8:45;0,104;
9:00;0,175;
9:15;0,203;
9:30;0,278;
9:45;0,336;
10:00;0,530;
10:15;0,705;
10:30;0,815;
10:45;0,898;
11:00;0,996;
11:15;1,244;
11:30;1,336;
11:45;1,724;
12:00;1,688;
12:15;1,858;
12:30;2,066;
12:45;2,017;
13:00;1,717;
13:15;2,204;
13:30;1,367;
13:45;1,909;
14:00;2,336;
14:15;1,313;
14:30;1,373;
14:45;1,363;
15:00;0,874;
15:15;1,003;
15:30;1,281;
15:45;1,621;
16:00;1,023;
16:15;1,047;
16:30;1,060;
16:45;0,679;
17:00;0,446;
17:15;0,389;
17:30;0,264;
17:45;0,265;
18:00;0,249;
18:15;0,211;
18:30;0,182;
18:45;0,117;
19:00;0,068;
19:15;0,027;
19:30;0,004;
19:45;0,000;
20:00;;
20:15;;
20:30;;
20:45;;
21:00;;
21:15;;
21:30;;
21:45;;
22:00;;
22:15;;
22:30;;
22:45;;
23:00;;
23:15;;
23:30;;
23:45;;
0:00;;
