 ;SB5.0 / Vermogen / Gemiddelde waarden  [kW];
0:15;;
0:30;;
0:45;;
1:00;;
1:15;;
1:30;;
1:45;;
2:00;;
2:15;;
2:30;;
2:45;;
3:00;;
3:15;;
3:30;;
3:45;;
4:00;;
4:15;;
4:30;;
4:45;;
5:00;;
5:15;;
5:30;;
5:45;;
6:00;;
6:15;;
6:30;;
6:45;;
7:00;;
7:15;;
7:30;;
7:45;;
8:00;;
8:15;;
8:30;0,000;
8:45;0,001;
9:00;0,026;
9:15;0,076;
9:30;0,176;
9:45;0,201;
10:00;0,413;
10:15;0,568;
10:30;0,645;
10:45;1,049;
11:00;1,338;
11:15;1,533;
11:30;1,697;
11:45;1,886;
12:00;0,282;
12:15;2,268;
12:30;1,951;
12:45;1,978;
13:00;2,644;
13:15;0,896;
13:30;3,000;
13:45;2,790;
14:00;2,798;
14:15;1,030;
14:30;2,371;
14:45;1,882;
15:00;1,460;
15:15;2,600;
15:30;1,333;
15:45;2,025;
16:00;2,419;
16:15;0,828;
16:30;0,624;
16:45;0,362;
17:00;0,252;
17:15;0,406;
17:30;0,388;
17:45;0,566;
18:00;0,208;
18:15;0,079;
18:30;0,003;
18:45;0,000;
19:00;;
19:15;;
19:30;;
19:45;;
20:00;;
20:15;;
20:30;;
20:45;;
21:00;;
21:15;;
21:30;;
21:45;;
22:00;;
22:15;;
22:30;;
22:45;;
23:00;;
23:15;;
23:30;;
23:45;;
0:00;;
