 ;SB5.0 / Vermogen / Gemiddelde waarden  [kW];
0:15;;
0:30;;
0:45;;
1:00;;
1:15;;
1:30;;
1:45;;
2:00;;
2:15;;
2:30;;
2:45;;
3:00;;
3:15;;
3:30;;
3:45;;
4:00;;
4:15;;
4:30;;
4:45;;
5:00;;
5:15;;
5:30;;
5:45;;
6:00;;
6:15;;
6:30;;
6:45;;
7:00;;
7:15;;
7:30;;
7:45;;
8:00;0,000;
8:15;0,000;
8:30;0,019;
8:45;0,087;
9:00;0,185;
9:15;0,195;
9:30;0,187;
9:45;0,245;
10:00;0,260;
10:15;0,215;
10:30;0,295;
10:45;0,604;
11:00;0,865;
11:15;0,502;
11:30;0,463;
11:45;0,691;
12:00;0,922;
12:15;0,509;
12:30;0,463;
12:45;0,672;
13:00;0,703;
13:15;0,713;
13:30;0,585;
13:45;0,483;
14:00;0,601;
14:15;0,357;
14:30;0,324;
14:45;0,362;
15:00;0,608;
15:15;0,349;
15:30;0,263;
15:45;0,206;
16:00;0,307;
16:15;0,253;
16:30;0,187;
16:45;0,167;
17:00;0,151;
17:15;0,086;
17:30;0,071;
17:45;0,061;
18:00;0,018;
18:15;0,031;
18:30;0,010;
18:45;0,001;
19:00;0,000;
19:15;;
19:30;;
19:45;;
20:00;;
20:15;;
20:30;;
20:45;;
21:00;;
21:15;;
21:30;;
21:45;;
22:00;;
22:15;;
22:30;;
22:45;;
23:00;;
23:15;;
23:30;;
23:45;;
0:00;;
