 ;SB5.0 / Vermogen / Gemiddelde waarden  [kW];
00:15;;
00:30;;
00:45;;
01:00;;
01:15;;
01:30;;
01:45;;
02:00;;
02:15;;
02:30;;
02:45;;
03:00;;
03:15;;
03:30;;
03:45;;
04:00;;
04:15;;
04:30;;
04:45;;
05:00;;
05:15;;
05:30;;
05:45;;
06:00;;
06:15;;
06:30;;
06:45;;
07:00;0,000;
07:15;0,002;
07:30;0,009;
07:45;0,053;
08:00;0,114;
08:15;0,164;
08:30;0,218;
08:45;0,327;
09:00;0,362;
09:15;0,546;
09:30;0,663;
09:45;0,679;
10:00;0,749;
10:15;0,807;
10:30;0,842;
10:45;0,924;
11:00;1,097;
11:15;1,228;
11:30;1,274;
11:45;1,364;
12:00;1,491;
12:15;1,771;
12:30;1,598;
12:45;1,487;
13:00;1,525;
13:15;1,700;
13:30;2,160;
13:45;2,507;
14:00;2,242;
14:15;2,742;
14:30;2,538;
14:45;2,901;
15:00;3,194;
15:15;3,305;
15:30;3,073;
15:45;3,107;
16:00;3,245;
16:15;2,752;
16:30;2,347;
16:45;2,339;
17:00;2,257;
17:15;2,092;
17:30;1,907;
17:45;1,660;
18:00;1,288;
18:15;0,898;
18:30;0,686;
18:45;0,258;
19:00;0,010;
19:15;0,000;
19:30;;
19:45;;
20:00;;
20:15;;
20:30;;
20:45;;
21:00;;
21:15;;
21:30;;
21:45;;
22:00;;
22:15;;
22:30;;
22:45;;
23:00;;
23:15;;
23:30;;
23:45;;
00:00;;
