 ;SB5.0 / Vermogen / Gemiddelde waarden  [kW];
00:15;;
00:30;;
00:45;;
01:00;;
01:15;;
01:30;;
01:45;;
02:00;;
02:15;;
02:30;;
02:45;;
03:00;;
03:15;;
03:30;;
03:45;;
04:00;;
04:15;;
04:30;;
04:45;;
05:00;;
05:15;;
05:30;;
05:45;;
06:00;;
06:15;;
06:30;;
06:45;;
07:00;;
07:15;0,000;
07:30;0,020;
07:45;0,055;
08:00;0,097;
08:15;0,135;
08:30;0,192;
08:45;0,284;
09:00;0,479;
09:15;0,724;
09:30;1,107;
09:45;0,953;
10:00;1,538;
10:15;1,721;
10:30;2,002;
10:45;2,224;
11:00;2,572;
11:15;2,671;
11:30;2,650;
11:45;2,820;
12:00;2,889;
12:15;3,001;
12:30;2,257;
12:45;2,115;
13:00;3,688;
13:15;2,529;
13:30;1,642;
13:45;3,245;
14:00;2,566;
14:15;2,997;
14:30;1,263;
14:45;1,231;
15:00;1,133;
15:15;1,123;
15:30;1,023;
15:45;2,083;
16:00;1,791;
16:15;2,545;
16:30;2,974;
16:45;1,508;
17:00;1,170;
17:15;0,630;
17:30;0,497;
17:45;0,902;
18:00;0,916;
18:15;0,364;
18:30;0,304;
18:45;0,048;
19:00;0,000;
19:15;;
19:30;;
19:45;;
20:00;;
20:15;;
20:30;;
20:45;;
21:00;;
21:15;;
21:30;;
21:45;;
22:00;;
22:15;;
22:30;;
22:45;;
23:00;;
23:15;;
23:30;;
23:45;;
00:00;;
