 ;SB5.0 / Vermogen / Gemiddelde waarden  [kW];
00:15;;
00:30;;
00:45;;
01:00;;
01:15;;
01:30;;
01:45;;
02:00;;
02:15;;
02:30;;
02:45;;
03:00;;
03:15;;
03:30;;
03:45;;
04:00;;
04:15;;
04:30;;
04:45;;
05:00;;
05:15;;
05:30;;
05:45;;
06:00;;
06:15;;
06:30;;
06:45;;
07:00;;
07:15;;
07:30;;
07:45;0,004;
08:00;0,012;
08:15;0,035;
08:30;0,044;
08:45;0,061;
09:00;0,113;
09:15;0,094;
09:30;0,148;
09:45;0,250;
10:00;0,130;
10:15;0,189;
10:30;0,161;
10:45;0,311;
11:00;0,294;
11:15;0,725;
11:30;0,738;
11:45;0,585;
12:00;0,463;
12:15;0,501;
12:30;0,607;
12:45;0,723;
13:00;0,456;
13:15;0,410;
13:30;0,651;
13:45;1,222;
14:00;0,863;
14:15;0,487;
14:30;0,290;
14:45;0,426;
15:00;0,379;
15:15;0,791;
15:30;0,780;
15:45;0,844;
16:00;0,445;
16:15;0,223;
16:30;0,206;
16:45;0,158;
17:00;0,210;
17:15;0,353;
17:30;0,979;
17:45;0,078;
18:00;0,068;
18:15;0,088;
18:30;0,038;
18:45;0,001;
19:00;;
19:15;;
19:30;;
19:45;;
20:00;;
20:15;;
20:30;;
20:45;;
21:00;;
21:15;;
21:30;;
21:45;;
22:00;;
22:15;;
22:30;;
22:45;;
23:00;;
23:15;;
23:30;;
23:45;;
00:00;;
