 ;SB5.0 / Vermogen / Gemiddelde waarden  [kW];
00:15;;
00:30;;
00:45;;
01:00;;
01:15;;
01:30;;
01:45;;
02:00;;
02:15;;
02:30;;
02:45;;
03:00;;
03:15;;
03:30;;
03:45;;
04:00;;
04:15;;
04:30;;
04:45;;
05:00;;
05:15;;
05:30;;
05:45;;
06:00;;
06:15;;
06:30;;
06:45;;
07:00;;
07:15;;
07:30;0,000;
07:45;0,017;
08:00;0,065;
08:15;0,133;
08:30;0,247;
08:45;0,417;
09:00;0,585;
09:15;0,597;
09:30;0,572;
09:45;0,579;
10:00;0,578;
10:15;0,590;
10:30;0,696;
10:45;0,885;
11:00;0,741;
11:15;0,826;
11:30;0,837;
11:45;0,953;
12:00;0,972;
12:15;1,013;
12:30;0,825;
12:45;0,811;
13:00;1,020;
13:15;1,168;
13:30;0,621;
13:45;0,337;
14:00;0,231;
14:15;0,175;
14:30;0,252;
14:45;0,554;
15:00;0,435;
15:15;0,390;
15:30;0,677;
15:45;1,053;
16:00;0,461;
16:15;0,234;
16:30;0,190;
16:45;0,148;
17:00;0,173;
17:15;0,123;
17:30;0,018;
17:45;0,033;
18:00;0,042;
18:15;0,071;
18:30;0,013;
18:45;0,000;
19:00;;
19:15;;
19:30;;
19:45;;
20:00;;
20:15;;
20:30;;
20:45;;
21:00;;
21:15;;
21:30;;
21:45;;
22:00;;
22:15;;
22:30;;
22:45;;
23:00;;
23:15;;
23:30;;
23:45;;
00:00;;
