 ;SB5.0 / Vermogen / Gemiddelde waarden  [kW];
00:15;;
00:30;;
00:45;;
01:00;;
01:15;;
01:30;;
01:45;;
02:00;;
02:15;;
02:30;;
02:45;;
03:00;;
03:15;;
03:30;;
03:45;;
04:00;;
04:15;;
04:30;;
04:45;;
05:00;;
05:15;;
05:30;;
05:45;;
06:00;;
06:15;;
06:30;;
06:45;;
07:00;;
07:15;;
07:30;;
07:45;;
08:00;0,000;
08:15;0,000;
08:30;0,022;
08:45;0,078;
09:00;0,201;
09:15;0,171;
09:30;0,299;
09:45;0,402;
10:00;0,814;
10:15;1,013;
10:30;1,542;
10:45;1,579;
11:00;0,896;
11:15;1,547;
11:30;0,802;
11:45;1,153;
12:00;2,577;
12:15;3,036;
12:30;2,036;
12:45;2,637;
13:00;2,742;
13:15;2,163;
13:30;3,179;
13:45;1,509;
14:00;1,012;
14:15;2,763;
14:30;2,017;
14:45;1,478;
15:00;1,131;
15:15;3,553;
15:30;1,821;
15:45;2,016;
16:00;2,416;
16:15;1,128;
16:30;1,544;
16:45;0,957;
17:00;1,125;
17:15;0,340;
17:30;1,190;
17:45;0,609;
18:00;0,142;
18:15;0,176;
18:30;0,071;
18:45;0,005;
19:00;0,000;
19:15;;
19:30;;
19:45;;
20:00;;
20:15;;
20:30;;
20:45;;
21:00;;
21:15;;
21:30;;
21:45;;
22:00;;
22:15;;
22:30;;
22:45;;
23:00;;
23:15;;
23:30;;
23:45;;
00:00;;
