 ;SB5.0 / Vermogen / Gemiddelde waarden  [kW];
00:15;;
00:30;;
00:45;;
01:00;;
01:15;;
01:30;;
01:45;;
02:00;;
02:15;;
02:30;;
02:45;;
03:00;;
03:15;;
03:30;;
03:45;;
04:00;;
04:15;;
04:30;;
04:45;;
05:00;;
05:15;;
05:30;;
05:45;;
06:00;;
06:15;;
06:30;;
06:45;;
07:00;;
07:15;0,000;
07:30;0,005;
07:45;0,013;
08:00;0,021;
08:15;0,060;
08:30;0,096;
08:45;0,055;
09:00;0,075;
09:15;0,150;
09:30;0,250;
09:45;0,391;
10:00;0,138;
10:15;0,110;
10:30;0,097;
10:45;0,118;
11:00;0,123;
11:15;0,164;
11:30;0,359;
11:45;0,172;
12:00;0,202;
12:15;0,222;
12:30;0,506;
12:45;1,133;
13:00;0,960;
13:15;0,466;
13:30;0,381;
13:45;0,380;
14:00;0,350;
14:15;0,614;
14:30;3,891;
14:45;3,801;
15:00;3,483;
15:15;3,085;
15:30;1,079;
15:45;1,191;
16:00;1,734;
16:15;2,670;
16:30;2,586;
16:45;2,679;
17:00;2,227;
17:15;2,056;
17:30;1,381;
17:45;1,420;
18:00;1,068;
18:15;0,273;
18:30;0,079;
18:45;0,011;
19:00;0,000;
19:15;;
19:30;;
19:45;;
20:00;;
20:15;;
20:30;;
20:45;;
21:00;;
21:15;;
21:30;;
21:45;;
22:00;;
22:15;;
22:30;;
22:45;;
23:00;;
23:15;;
23:30;;
23:45;;
00:00;;
