 ;SB5.0 / Vermogen / Gemiddelde waarden  [kW];
00:15;;
00:30;;
00:45;;
01:00;;
01:15;;
01:30;;
01:45;;
02:00;;
02:15;;
02:30;;
02:45;;
03:00;;
03:15;;
03:30;;
03:45;;
04:00;;
04:15;;
04:30;;
04:45;;
05:00;;
05:15;;
05:30;;
05:45;;
06:00;;
06:15;;
06:30;;
06:45;;
07:00;0,003;
07:15;0,029;
07:30;0,091;
07:45;0,189;
08:00;0,294;
08:15;0,235;
08:30;0,329;
08:45;0,562;
09:00;0,773;
09:15;0,823;
09:30;1,264;
09:45;1,429;
10:00;1,684;
10:15;1,407;
10:30;1,708;
10:45;1,680;
11:00;1,423;
11:15;0,984;
11:30;1,045;
11:45;1,730;
12:00;2,120;
12:15;2,421;
12:30;2,271;
12:45;2,694;
13:00;3,415;
13:15;3,685;
13:30;3,799;
13:45;3,769;
14:00;3,481;
14:15;3,868;
14:30;3,624;
14:45;3,680;
15:00;3,660;
15:15;3,565;
15:30;3,427;
15:45;3,386;
16:00;3,292;
16:15;3,138;
16:30;2,890;
16:45;2,740;
17:00;2,487;
17:15;2,267;
17:30;1,904;
17:45;1,644;
18:00;1,368;
18:15;1,055;
18:30;0,389;
18:45;0,120;
19:00;0,031;
19:15;0,000;
19:30;;
19:45;;
20:00;;
20:15;;
20:30;;
20:45;;
21:00;;
21:15;;
21:30;;
21:45;;
22:00;;
22:15;;
22:30;;
22:45;;
23:00;;
23:15;;
23:30;;
23:45;;
00:00;;
