 ;SB5.0 / Vermogen / Gemiddelde waarden  [kW];
00:15;;
00:30;;
00:45;;
01:00;;
01:15;;
01:30;;
01:45;;
02:00;;
02:15;;
02:30;;
02:45;;
03:00;;
03:15;;
03:30;;
03:45;;
04:00;;
04:15;;
04:30;;
04:45;;
05:00;;
05:15;;
05:30;;
05:45;;
06:00;;
06:15;;
06:30;;
06:45;;
07:00;;
07:15;;
07:30;0,000;
07:45;0,009;
08:00;0,056;
08:15;0,092;
08:30;0,149;
08:45;0,217;
09:00;0,389;
09:15;0,573;
09:30;0,664;
09:45;0,766;
10:00;0,713;
10:15;0,586;
10:30;0,492;
10:45;0,659;
11:00;0,762;
11:15;1,226;
11:30;2,758;
11:45;2,472;
12:00;2,466;
12:15;2,602;
12:30;2,580;
12:45;2,679;
13:00;3,114;
13:15;2,991;
13:30;3,549;
13:45;3,365;
14:00;2,337;
14:15;1,610;
14:30;2,229;
14:45;1,938;
15:00;1,752;
15:15;2,831;
15:30;1,272;
15:45;0,848;
16:00;0,742;
16:15;0,646;
16:30;0,710;
16:45;0,804;
17:00;0,621;
17:15;0,459;
17:30;0,271;
17:45;0,182;
18:00;0,086;
18:15;0,034;
18:30;0,005;
18:45;0,000;
19:00;;
19:15;;
19:30;;
19:45;;
20:00;;
20:15;;
20:30;;
20:45;;
21:00;;
21:15;;
21:30;;
21:45;;
22:00;;
22:15;;
22:30;;
22:45;;
23:00;;
23:15;;
23:30;;
23:45;;
00:00;;
