 ;SB5.0 / Vermogen / Gemiddelde waarden  [kW];
00:15;;
00:30;;
00:45;;
01:00;;
01:15;;
01:30;;
01:45;;
02:00;;
02:15;;
02:30;;
02:45;;
03:00;;
03:15;;
03:30;;
03:45;;
04:00;;
04:15;;
04:30;;
04:45;;
05:00;;
05:15;;
05:30;;
05:45;;
06:00;;
06:15;;
06:30;;
06:45;;
07:00;;
07:15;;
07:30;0,000;
07:45;0,003;
08:00;0,027;
08:15;0,086;
08:30;0,127;
08:45;0,212;
09:00;0,333;
09:15;0,389;
09:30;0,504;
09:45;0,619;
10:00;0,777;
10:15;0,551;
10:30;0,688;
10:45;0,870;
11:00;1,473;
11:15;1,444;
11:30;1,146;
11:45;0,980;
12:00;0,621;
12:15;0,853;
12:30;1,616;
12:45;1,201;
13:00;3,215;
13:15;2,911;
13:30;2,125;
13:45;2,460;
14:00;2,091;
14:15;1,108;
14:30;1,709;
14:45;1,920;
15:00;1,200;
15:15;1,032;
15:30;1,793;
15:45;0,918;
16:00;0,366;
16:15;1,530;
16:30;3,120;
16:45;3,120;
17:00;1,496;
17:15;0,484;
17:30;0,302;
17:45;0,471;
18:00;0,591;
18:15;0,191;
18:30;0,275;
18:45;0,338;
19:00;0,845;
19:15;0,784;
19:30;0,687;
19:45;0,139;
20:00;0,062;
20:15;0,005;
20:30;0,000;
20:45;;
21:00;;
21:15;;
21:30;;
21:45;;
22:00;;
22:15;;
22:30;;
22:45;;
23:00;;
23:15;;
23:30;;
23:45;;
00:00;;
