 ;SB5.0 / Vermogen / Gemiddelde waarden  [kW];
0:15;;
0:30;;
0:45;;
1:00;;
1:15;;
1:30;;
1:45;;
2:00;;
2:15;;
2:30;;
2:45;;
3:00;;
3:15;;
3:30;;
3:45;;
4:00;;
4:15;;
4:30;;
4:45;;
5:00;;
5:15;;
5:30;;
5:45;;
6:00;;
6:15;;
6:30;;
6:45;;
7:00;;
7:15;;
7:30;0,000;
7:45;0,004;
8:00;0,030;
8:15;0,144;
8:30;0,129;
8:45;0,173;
9:00;0,240;
9:15;0,327;
9:30;0,508;
9:45;0,705;
10:00;0,969;
10:15;1,176;
10:30;1,425;
10:45;1,718;
11:00;1,951;
11:15;2,097;
11:30;2,117;
11:45;1,586;
12:00;2,110;
12:15;3,230;
12:30;2,267;
12:45;2,596;
13:00;2,317;
13:15;3,393;
13:30;1,965;
13:45;2,093;
14:00;2,477;
14:15;3,379;
14:30;2,824;
14:45;3,866;
15:00;2,434;
15:15;2,038;
15:30;2,882;
15:45;2,286;
16:00;1,653;
16:15;3,284;
16:30;1,541;
16:45;3,524;
17:00;1,056;
17:15;0,360;
17:30;0,251;
17:45;0,729;
18:00;1,595;
18:15;2,340;
18:30;1,870;
18:45;0,353;
19:00;0,270;
19:15;0,112;
19:30;0,023;
19:45;0,024;
20:00;0,026;
20:15;0,046;
20:30;0,032;
20:45;0,000;
21:00;0,000;
21:15;;
21:30;;
21:45;;
22:00;;
22:15;;
22:30;;
22:45;;
23:00;;
23:15;;
23:30;;
23:45;;
0:00;;
