 ;SB5.0 / Vermogen / Gemiddelde waarden  [kW];
0:15;;
0:30;;
0:45;;
1:00;;
1:15;;
1:30;;
1:45;;
2:00;;
2:15;;
2:30;;
2:45;;
3:00;;
3:15;;
3:30;;
3:45;;
4:00;;
4:15;;
4:30;;
4:45;;
5:00;;
5:15;;
5:30;;
5:45;;
6:00;;
6:15;;
6:30;;
6:45;;
7:00;0,000;
7:15;0,000;
7:30;0,016;
7:45;0,053;
8:00;0,112;
8:15;0,131;
8:30;0,136;
8:45;0,209;
9:00;0,340;
9:15;0,459;
9:30;0,584;
9:45;0,856;
10:00;1,028;
10:15;1,244;
10:30;1,333;
10:45;1,751;
11:00;1,897;
11:15;1,786;
11:30;2,613;
11:45;1,761;
12:00;2,800;
12:15;2,893;
12:30;3,124;
12:45;2,275;
13:00;2,121;
13:15;1,657;
13:30;3,138;
13:45;2,062;
14:00;3,087;
14:15;2,472;
14:30;2,727;
14:45;3,046;
15:00;2,604;
15:15;1,746;
15:30;2,427;
15:45;2,401;
16:00;2,140;
16:15;2,873;
16:30;2,362;
16:45;2,390;
17:00;1,700;
17:15;2,259;
17:30;1,802;
17:45;2,087;
18:00;1,850;
18:15;1,580;
18:30;1,211;
18:45;1,793;
19:00;0,684;
19:15;0,653;
19:30;0,415;
19:45;0,398;
20:00;0,190;
20:15;0,083;
20:30;0,038;
20:45;0,012;
21:00;;
21:15;;
21:30;;
21:45;;
22:00;;
22:15;;
22:30;;
22:45;;
23:00;;
23:15;;
23:30;;
23:45;;
0:00;;
