 ;SB5.0 / Vermogen / Gemiddelde waarden  [kW];
0:15;;
0:30;;
0:45;;
1:00;;
1:15;;
1:30;;
1:45;;
2:00;;
2:15;;
2:30;;
2:45;;
3:00;;
3:15;;
3:30;;
3:45;;
4:00;;
4:15;;
4:30;;
4:45;;
5:00;;
5:15;;
5:30;;
5:45;;
6:00;;
6:15;;
6:30;;
6:45;0,000;
7:00;0,010;
7:15;0,057;
7:30;0,060;
7:45;0,072;
8:00;0,063;
8:15;0,150;
8:30;0,156;
8:45;0,301;
9:00;0,442;
9:15;0,392;
9:30;0,419;
9:45;0,517;
10:00;0,642;
10:15;0,767;
10:30;0,697;
10:45;1,015;
11:00;1,063;
11:15;1,788;
11:30;1,605;
11:45;3,071;
12:00;1,694;
12:15;2,255;
12:30;2,841;
12:45;1,257;
13:00;1,129;
13:15;2,987;
13:30;1,373;
13:45;0,811;
14:00;1,330;
14:15;1,309;
14:30;2,187;
14:45;2,988;
15:00;1,516;
15:15;3,492;
15:30;3,979;
15:45;3,595;
16:00;3,102;
16:15;3,762;
16:30;3,620;
16:45;3,561;
17:00;3,510;
17:15;3,282;
17:30;3,232;
17:45;3,113;
18:00;2,955;
18:15;2,718;
18:30;1,273;
18:45;1,151;
19:00;0,615;
19:15;0,432;
19:30;0,325;
19:45;0,236;
20:00;0,181;
20:15;0,194;
20:30;0,321;
20:45;0,188;
21:00;0,049;
21:15;0,005;
21:30;;
21:45;;
22:00;;
22:15;;
22:30;;
22:45;;
23:00;;
23:15;;
23:30;;
23:45;;
0:00;;
