 ;SB5.0 / Vermogen / Gemiddelde waarden  [kW];
0:15;;
0:30;;
0:45;;
1:00;;
1:15;;
1:30;;
1:45;;
2:00;;
2:15;;
2:30;;
2:45;;
3:00;;
3:15;;
3:30;;
3:45;;
4:00;;
4:15;;
4:30;;
4:45;;
5:00;;
5:15;;
5:30;;
5:45;;
6:00;;
6:15;;
6:30;;
6:45;;
7:00;;
7:15;;
7:30;0,000;
7:45;0,003;
8:00;0,049;
8:15;0,023;
8:30;0,105;
8:45;0,336;
9:00;0,349;
9:15;0,242;
9:30;0,409;
9:45;0,329;
10:00;1,091;
10:15;1,238;
10:30;0,721;
10:45;0,581;
11:00;0,296;
11:15;0,403;
11:30;0,233;
11:45;0,154;
12:00;0,148;
12:15;0,218;
12:30;0,470;
12:45;0,527;
13:00;0,706;
13:15;0,288;
13:30;0,291;
13:45;0,502;
14:00;0,426;
14:15;0,720;
14:30;0,796;
14:45;0,688;
15:00;0,278;
15:15;0,417;
15:30;0,155;
15:45;0,113;
16:00;0,062;
16:15;0,121;
16:30;0,079;
16:45;0,036;
17:00;0,229;
17:15;0,327;
17:30;0,224;
17:45;0,384;
18:00;0,094;
18:15;0,108;
18:30;0,163;
18:45;0,187;
19:00;0,041;
19:15;0,146;
19:30;0,148;
19:45;0,013;
20:00;0,000;
20:15;0,000;
20:30;;
20:45;;
21:00;;
21:15;;
21:30;;
21:45;;
22:00;;
22:15;;
22:30;;
22:45;;
23:00;;
23:15;;
23:30;;
23:45;;
0:00;;
