 ;SB5.0 / Vermogen / Gemiddelde waarden  [kW];
0:15;;
0:30;;
0:45;;
1:00;;
1:15;;
1:30;;
1:45;;
2:00;;
2:15;;
2:30;;
2:45;;
3:00;;
3:15;;
3:30;;
3:45;;
4:00;;
4:15;;
4:30;;
4:45;;
5:00;;
5:15;;
5:30;;
5:45;;
6:00;;
6:15;;
6:30;0,000;
6:45;0,001;
7:00;0,016;
7:15;0,048;
7:30;0,088;
7:45;0,116;
8:00;0,145;
8:15;0,179;
8:30;0,208;
8:45;0,227;
9:00;0,302;
9:15;0,440;
9:30;0,648;
9:45;0,822;
10:00;1,068;
10:15;1,412;
10:30;1,495;
10:45;1,455;
11:00;2,315;
11:15;2,215;
11:30;0,934;
11:45;0,594;
12:00;0,718;
12:15;0,934;
12:30;1,414;
12:45;3,714;
13:00;1,920;
13:15;0,981;
13:30;0,575;
13:45;0,668;
14:00;0,966;
14:15;1,257;
14:30;1,852;
14:45;1,284;
15:00;2,104;
15:15;3,209;
15:30;0,523;
15:45;0,386;
16:00;0,748;
16:15;1,386;
16:30;1,996;
16:45;2,302;
17:00;3,480;
17:15;2,988;
17:30;2,064;
17:45;0,877;
18:00;1,006;
18:15;0,812;
18:30;0,999;
18:45;0,745;
19:00;0,807;
19:15;0,718;
19:30;0,419;
19:45;0,605;
20:00;0,421;
20:15;0,213;
20:30;0,143;
20:45;0,056;
21:00;0,015;
21:15;0,000;
21:30;;
21:45;;
22:00;;
22:15;;
22:30;;
22:45;;
23:00;;
23:15;;
23:30;;
23:45;;
0:00;;
