 ;SB5.0 / Vermogen / Gemiddelde waarden  [kW];
0:15;;
0:30;;
0:45;;
1:00;;
1:15;;
1:30;;
1:45;;
2:00;;
2:15;;
2:30;;
2:45;;
3:00;;
3:15;;
3:30;;
3:45;;
4:00;;
4:15;;
4:30;;
4:45;;
5:00;;
5:15;;
5:30;;
5:45;;
6:00;;
6:15;;
6:30;;
6:45;;
7:00;;
7:15;;
7:30;;
7:45;;
8:00;;
8:15;;
8:30;;
8:45;0,000;
9:00;0,000;
9:15;0,033;
9:30;0,082;
9:45;0,158;
10:00;0,224;
10:15;0,434;
10:30;0,631;
10:45;0,516;
11:00;0,636;
11:15;0,891;
11:30;1,337;
11:45;1,392;
12:00;0,899;
12:15;2,271;
12:30;2,474;
12:45;2,165;
13:00;0,752;
13:15;1,230;
13:30;1,496;
13:45;1,098;
14:00;0,596;
14:15;0,534;
14:30;0,478;
14:45;0,425;
15:00;0,313;
15:15;0,205;
15:30;0,118;
15:45;0,128;
16:00;0,141;
16:15;0,076;
16:30;0,012;
16:45;0,000;
17:00;;
17:15;;
17:30;;
17:45;;
18:00;;
18:15;;
18:30;;
18:45;;
19:00;;
19:15;;
19:30;;
19:45;;
20:00;;
20:15;;
20:30;;
20:45;;
21:00;;
21:15;;
21:30;;
21:45;;
22:00;;
22:15;;
22:30;;
22:45;;
23:00;;
23:15;;
23:30;;
23:45;;
0:00;;
