 ;SB5.0 / Vermogen / Gemiddelde waarden  [kW];
0:15;;
0:30;;
0:45;;
1:00;;
1:15;;
1:30;;
1:45;;
2:00;;
2:15;;
2:30;;
2:45;;
3:00;;
3:15;;
3:30;;
3:45;;
4:00;;
4:15;;
4:30;;
4:45;;
5:00;;
5:15;;
5:30;;
5:45;;
6:00;;
6:15;;
6:30;;
6:45;;
7:00;;
7:15;;
7:30;;
7:45;;
8:00;;
8:15;;
8:30;;
8:45;;
9:00;;
9:15;0,000;
9:30;0,013;
9:45;0,018;
10:00;0,014;
10:15;0,032;
10:30;0,027;
10:45;0,016;
11:00;0,049;
11:15;0,066;
11:30;0,200;
11:45;0,111;
12:00;0,107;
12:15;0,102;
12:30;0,292;
12:45;0,168;
13:00;0,342;
13:15;0,286;
13:30;0,235;
13:45;0,331;
14:00;0,282;
14:15;0,235;
14:30;0,189;
14:45;0,152;
15:00;0,113;
15:15;0,076;
15:30;0,054;
15:45;0,059;
16:00;0,019;
16:15;0,001;
16:30;0,001;
16:45;;
17:00;;
17:15;;
17:30;;
17:45;;
18:00;;
18:15;;
18:30;;
18:45;;
19:00;;
19:15;;
19:30;;
19:45;;
20:00;;
20:15;;
20:30;;
20:45;;
21:00;;
21:15;;
21:30;;
21:45;;
22:00;;
22:15;;
22:30;;
22:45;;
23:00;;
23:15;;
23:30;;
23:45;;
0:00;;
