 ;SB5.0 / Vermogen / Gemiddelde waarden  [kW];
0:15;;
0:30;;
0:45;;
1:00;;
1:15;;
1:30;;
1:45;;
2:00;;
2:15;;
2:30;;
2:45;;
3:00;;
3:15;;
3:30;;
3:45;;
4:00;;
4:15;;
4:30;;
4:45;;
5:00;;
5:15;;
5:30;;
5:45;;
6:00;;
6:15;;
6:30;;
6:45;;
7:00;;
7:15;;
7:30;;
7:45;;
8:00;;
8:15;;
8:30;;
8:45;;
9:00;0,000;
9:15;0,010;
9:30;0,027;
9:45;0,065;
10:00;0,204;
10:15;0,182;
10:30;0,351;
10:45;0,594;
11:00;0,948;
11:15;0,987;
11:30;1,146;
11:45;0,575;
12:00;1,295;
12:15;1,592;
12:30;1,520;
12:45;1,244;
13:00;0,803;
13:15;0,846;
13:30;0,520;
13:45;0,668;
14:00;0,915;
14:15;0,747;
14:30;0,952;
14:45;0,531;
15:00;0,516;
15:15;0,380;
15:30;0,357;
15:45;0,261;
16:00;0,162;
16:15;0,102;
16:30;0,030;
16:45;0,001;
17:00;0,000;
17:15;;
17:30;;
17:45;;
18:00;;
18:15;;
18:30;;
18:45;;
19:00;;
19:15;;
19:30;;
19:45;;
20:00;;
20:15;;
20:30;;
20:45;;
21:00;;
21:15;;
21:30;;
21:45;;
22:00;;
22:15;;
22:30;;
22:45;;
23:00;;
23:15;;
23:30;;
23:45;;
0:00;;
