 ;SB5.0 / Vermogen / Gemiddelde waarden  [kW];
0:15;;
0:30;;
0:45;;
1:00;;
1:15;;
1:30;;
1:45;;
2:00;;
2:15;;
2:30;;
2:45;;
3:00;;
3:15;;
3:30;;
3:45;;
4:00;;
4:15;;
4:30;;
4:45;;
5:00;;
5:15;;
5:30;;
5:45;;
6:00;;
6:15;;
6:30;;
6:45;;
7:00;;
7:15;;
7:30;;
7:45;;
8:00;;
8:15;;
8:30;0,000;
8:45;0,020;
9:00;0,092;
9:15;0,104;
9:30;0,139;
9:45;0,150;
10:00;0,236;
10:15;0,329;
10:30;0,417;
10:45;0,932;
11:00;1,428;
11:15;1,429;
11:30;0,982;
11:45;1,129;
12:00;1,183;
12:15;0,851;
12:30;0,888;
12:45;1,236;
13:00;1,029;
13:15;0,936;
13:30;1,008;
13:45;1,119;
14:00;1,288;
14:15;1,134;
14:30;1,456;
14:45;1,956;
15:00;2,305;
15:15;2,122;
15:30;1,989;
15:45;1,763;
16:00;0,990;
16:15;0,937;
16:30;0,806;
16:45;0,589;
17:00;0,267;
17:15;0,096;
17:30;0,028;
17:45;0,009;
18:00;0,000;
18:15;;
18:30;;
18:45;;
19:00;;
19:15;;
19:30;;
19:45;;
20:00;;
20:15;;
20:30;;
20:45;;
21:00;;
21:15;;
21:30;;
21:45;;
22:00;;
22:15;;
22:30;;
22:45;;
23:00;;
23:15;;
23:30;;
23:45;;
0:00;;
