 ;SB5.0 / Vermogen / Gemiddelde waarden  [kW];
0:15;;
0:30;;
0:45;;
1:00;;
1:15;;
1:30;;
1:45;;
2:00;;
2:15;;
2:30;;
2:45;;
3:00;;
3:15;;
3:30;;
3:45;;
4:00;;
4:15;;
4:30;;
4:45;;
5:00;;
5:15;;
5:30;;
5:45;;
6:00;;
6:15;;
6:30;;
6:45;;
7:00;;
7:15;;
7:30;;
7:45;;
8:00;0,000;
8:15;0,005;
8:30;0,022;
8:45;0,042;
9:00;0,088;
9:15;0,194;
9:30;0,400;
9:45;0,613;
10:00;0,842;
10:15;1,145;
10:30;1,467;
10:45;1,673;
11:00;1,912;
11:15;2,149;
11:30;2,440;
11:45;2,541;
12:00;2,441;
12:15;2,030;
12:30;1,683;
12:45;2,467;
13:00;3,033;
13:15;2,968;
13:30;2,931;
13:45;2,991;
14:00;2,694;
14:15;2,609;
14:30;1,745;
14:45;1,069;
15:00;1,250;
15:15;1,123;
15:30;0,757;
15:45;0,594;
16:00;0,563;
16:15;0,362;
16:30;0,263;
16:45;0,210;
17:00;0,198;
17:15;0,136;
17:30;0,045;
17:45;0,004;
18:00;0,000;
18:15;;
18:30;;
18:45;;
19:00;;
19:15;;
19:30;;
19:45;;
20:00;;
20:15;;
20:30;;
20:45;;
21:00;;
21:15;;
21:30;;
21:45;;
22:00;;
22:15;;
22:30;;
22:45;;
23:00;;
23:15;;
23:30;;
23:45;;
0:00;;
