 ;SB5.0 / Vermogen / Gemiddelde waarden  [kW];
0:15;;
0:30;;
0:45;;
1:00;;
1:15;;
1:30;;
1:45;;
2:00;;
2:15;;
2:30;;
2:45;;
3:00;;
3:15;;
3:30;;
3:45;;
4:00;;
4:15;;
4:30;;
4:45;;
5:00;;
5:15;;
5:30;;
5:45;;
6:00;;
6:15;;
6:30;;
6:45;;
7:00;;
7:15;;
7:30;;
7:45;0,000;
8:00;0,004;
8:15;0,036;
8:30;0,090;
8:45;0,152;
9:00;0,313;
9:15;0,470;
9:30;0,658;
9:45;0,828;
10:00;1,100;
10:15;1,321;
10:30;1,592;
10:45;1,847;
11:00;2,107;
11:15;2,012;
11:30;2,542;
11:45;2,739;
12:00;2,739;
12:15;2,920;
12:30;3,195;
12:45;3,317;
13:00;3,460;
13:15;3,434;
13:30;3,493;
13:45;3,554;
14:00;3,595;
14:15;3,475;
14:30;3,389;
14:45;3,309;
15:00;3,337;
15:15;3,280;
15:30;3,255;
15:45;3,195;
16:00;2,866;
16:15;2,598;
16:30;2,086;
16:45;1,712;
17:00;1,276;
17:15;1,262;
17:30;1,042;
17:45;0,738;
18:00;0,304;
18:15;0,059;
18:30;0,003;
18:45;;
19:00;;
19:15;;
19:30;;
19:45;;
20:00;;
20:15;;
20:30;;
20:45;;
21:00;;
21:15;;
21:30;;
21:45;;
22:00;;
22:15;;
22:30;;
22:45;;
23:00;;
23:15;;
23:30;;
23:45;;
0:00;;
