 ;SB5.0 / Vermogen / Gemiddelde waarden  [kW]
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;0
06:15;0,005
06:30;0,026
06:45;0,058
07:00;0,096
07:15;0,117
07:30;0,139
07:45;0,157
08:00;0,177
08:15;0,194
08:30;0,212
08:45;0,259
09:00;0,405
09:15;0,568
09:30;0,787
09:45;1.036
10:00;1.348
10:15;1.430
10:30;1.950
10:45;1.869
11:00;1.840
11:15;2.385
11:30;2.258
11:45;3.186
12:00;3.071
12:15;2.753
12:30;1.880
12:45;1.551
13:00;2.744
13:15;2.165
13:30;2.979
13:45;3.307
14:00;3.520
14:15;3.488
14:30;3.927
14:45;3.455
15:00;3.414
15:15;3.889
15:30;3.755
15:45;3.776
16:00;3.686
16:15;3.016
16:30;3.381
16:45;3.422
17:00;2.406
17:15;1.797
17:30;2.304
17:45;2.406
18:00;2.393
18:15;0,975
18:30;1.800
18:45;2.062
19:00;1.407
19:15;0,985
19:30;1.283
19:45;1.624
20:00;1.403
20:15;0,886
20:30;0,791
20:45;0,507
21:00;0,302
21:15;0,148
21:30;0,082
21:45;0,023
22:00;0
22:15;0
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
