 ;SB5.0 / Vermogen / Gemiddelde waarden  [kW]
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;
06:15;0
06:30;0,005
06:45;0,041
07:00;0,052
07:15;0,07
07:30;0,089
07:45;0,156
08:00;0,174
08:15;0,122
08:30;0,136
08:45;0,126
09:00;0,448
09:15;0,882
09:30;1.104
09:45;0,825
10:00;1.597
10:15;0,866
10:30;0,49
10:45;0,788
11:00;1.130
11:15;0,749
11:30;1.122
11:45;1.122
12:00;2.975
12:15;2.326
12:30;1.863
12:45;3.068
13:00;3.563
13:15;3.346
13:30;2.931
13:45;1.969
14:00;1.089
14:15;0,31
14:30;0
14:45;0,618
15:00;2.782
15:15;2.397
15:30;0,163
15:45;0,595
16:00;1.372
16:15;1.695
16:30;1.288
16:45;2.002
17:00;1.798
17:15;1.685
17:30;1.693
17:45;1.577
18:00;1.911
18:15;1.383
18:30;1.422
18:45;1.832
19:00;2.265
19:15;2.099
19:30;1.833
19:45;1.688
20:00;1.254
20:15;1.102
20:30;0,493
20:45;0,208
21:00;0,125
21:15;0,069
21:30;0,033
21:45;0,005
22:00;0
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
