 ;SB5.0 / Vermogen / Gemiddelde waarden  [kW];
0:15;;
0:30;;
0:45;;
1:00;;
1:15;;
1:30;;
1:45;;
2:00;;
2:15;;
2:30;;
2:45;;
3:00;;
3:15;;
3:30;;
3:45;;
4:00;;
4:15;;
4:30;;
4:45;;
5:00;;
5:15;;
5:30;;
5:45;;
6:00;;
6:15;0,000;
6:30;0,012;
6:45;0,062;
7:00;0,130;
7:15;0,188;
7:30;0,249;
7:45;0,415;
8:00;0,245;
8:15;0,209;
8:30;0,773;
8:45;0,493;
9:00;0,306;
9:15;0,570;
9:30;0,901;
9:45;0,752;
10:00;0,867;
10:15;1,420;
10:30;1,524;
10:45;0,690;
11:00;1,160;
11:15;2,326;
11:30;1,696;
11:45;2,883;
12:00;2,460;
12:15;1,459;
12:30;1,690;
12:45;2,946;
13:00;0,766;
13:15;1,323;
13:30;2,747;
13:45;2,567;
14:00;1,286;
14:15;2,975;
14:30;3,450;
14:45;2,513;
15:00;2,330;
15:15;2,104;
15:30;3,969;
15:45;3,410;
16:00;3,576;
16:15;3,552;
16:30;2,345;
16:45;2,660;
17:00;3,085;
17:15;1,834;
17:30;0,939;
17:45;1,188;
18:00;0,955;
18:15;1,202;
18:30;1,350;
18:45;0,496;
19:00;1,138;
19:15;0,691;
19:30;1,171;
19:45;0,378;
20:00;0,363;
20:15;0,529;
20:30;0,229;
20:45;0,246;
21:00;0,242;
21:15;0,120;
21:30;0,009;
21:45;0,000;
22:00;0,000;
22:15;;
22:30;;
22:45;;
23:00;;
23:15;;
23:30;;
23:45;;
0:00;;
