 ;SB5.0 / Vermogen / Gemiddelde waarden  [kW]
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;0
06:15;0
06:30;0,006
06:45;0,019
07:00;0,051
07:15;0,108
07:30;0,147
07:45;0,191
08:00;0,243
08:15;0,398
08:30;0,684
08:45;0,692
09:00;0,747
09:15;0,763
09:30;0,754
09:45;0,842
10:00;1.377
10:15;1.710
10:30;1.982
10:45;2.018
11:00;2.330
11:15;2.368
11:30;2.435
11:45;2.735
12:00;2.899
12:15;2.917
12:30;3.124
12:45;3.265
13:00;3.360
13:15;3.427
13:30;3.522
13:45;3.539
14:00;3.602
14:15;3.657
14:30;3.656
14:45;3.700
15:00;3.705
15:15;3.709
15:30;3.733
15:45;3.695
16:00;3.687
16:15;3.629
16:30;3.555
16:45;3.478
17:00;3.360
17:15;3.253
17:30;3.141
17:45;2.985
18:00;2.817
18:15;2.661
18:30;2.500
18:45;2.327
19:00;2.088
19:15;1.898
19:30;1.567
19:45;1.063
20:00;1.053
20:15;0,762
20:30;0,428
20:45;0,354
21:00;0,203
21:15;0,189
21:30;0,095
21:45;0,025
22:00;0
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
