 ;SB5.0 / Vermogen / Gemiddelde waarden  [kW]
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;0
06:00;0,012
06:15;0,026
06:30;0,026
06:45;0,053
07:00;0,201
07:15;0,298
07:30;0,355
07:45;0,403
08:00;0,281
08:15;0,294
08:30;0,358
08:45;0,533
09:00;0,671
09:15;0,799
09:30;0,698
09:45;0,472
10:00;1.266
10:15;1.521
10:30;1.701
10:45;1.921
11:00;2.168
11:15;2.355
11:30;2.568
11:45;2.816
12:00;2.295
12:15;1.054
12:30;0,2
12:45;0,093
13:00;0,133
13:15;0,091
13:30;0,121
13:45;0,174
14:00;0,19
14:15;0,36
14:30;0,616
14:45;0,731
15:00;0,312
15:15;0,595
15:30;2.349
15:45;1.402
16:00;2.677
16:15;3.085
16:30;1.047
16:45;2.258
17:00;3.070
17:15;3.301
17:30;3.014
17:45;2.431
18:00;2.362
18:15;2.326
18:30;2.496
18:45;2.343
19:00;2.219
19:15;1.166
19:30;0,412
19:45;0,24
20:00;0,116
20:15;0,053
20:30;0,018
20:45;0,001
21:00;0,009
21:15;0,135
21:30;0,105
21:45;0,068
22:00;0,016
22:15;0,006
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
