 ;SB5.0 / Vermogen / Gemiddelde waarden  [kW]
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;0
06:00;0,009
06:15;0,013
06:30;0,05
06:45;0,082
07:00;0,092
07:15;0,132
07:30;0,164
07:45;0,194
08:00;0,228
08:15;0,255
08:30;0,288
08:45;0,414
09:00;0,529
09:15;0,634
09:30;0,841
09:45;1.100
10:00;1.259
10:15;1.471
10:30;1.617
10:45;1.977
11:00;1.802
11:15;2.345
11:30;2.513
11:45;2.713
12:00;2.738
12:15;2.797
12:30;3.241
12:45;3.325
13:00;2.769
13:15;2.992
13:30;2.831
13:45;3.072
14:00;3.601
14:15;3.680
14:30;3.763
14:45;3.837
15:00;3.893
15:15;3.721
15:30;3.854
15:45;3.750
16:00;3.567
16:15;3.729
16:30;3.681
16:45;3.486
17:00;3.482
17:15;3.293
17:30;2.890
17:45;2.929
18:00;2.765
18:15;2.450
18:30;2.387
18:45;2.221
19:00;2.006
19:15;1.766
19:30;1.645
19:45;1.567
20:00;1.298
20:15;1.075
20:30;0,856
20:45;0,262
21:00;0,143
21:15;0,222
21:30;0,12
21:45;0,028
22:00;0,013
22:15;0
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
