 ;SB5.0 / Vermogen / Gemiddelde waarden  [kW]
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;0
06:15;0
06:30;0,001
06:45;0,019
07:00;0,043
07:15;0,087
07:30;0,124
07:45;0,128
08:00;0,136
08:15;0,172
08:30;0,194
08:45;0,266
09:00;0,261
09:15;0,328
09:30;0,316
09:45;0,367
10:00;0,355
10:15;0,413
10:30;0,423
10:45;0,491
11:00;0,574
11:15;0,715
11:30;1.357
11:45;1.247
12:00;1.031
12:15;1.370
12:30;1.224
12:45;0,928
13:00;1.030
13:15;0,95
13:30;1.586
13:45;1.124
14:00;1.530
14:15;0,678
14:30;0,905
14:45;0,879
15:00;1.055
15:15;1.510
15:30;1.095
15:45;1.029
16:00;1.142
16:15;1.234
16:30;1.218
16:45;1.681
17:00;0,775
17:15;0,61
17:30;0,636
17:45;0,527
18:00;0,786
18:15;0,903
18:30;1.131
18:45;0,536
19:00;0,718
19:15;0,54
19:30;0,533
19:45;0,476
20:00;0,585
20:15;0,438
20:30;0,7
20:45;0,593
21:00;0,272
21:15;0,134
21:30;0,059
21:45;0,009
22:00;0
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
