 ;SB5.0 / Vermogen / Gemiddelde waarden  [kW]
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;0
06:00;0
06:15;0,006
06:30;0,043
06:45;0,075
07:00;0,187
07:15;0,214
07:30;0,222
07:45;0,219
08:00;0,199
08:15;0,235
08:30;0,276
08:45;0,578
09:00;0,459
09:15;0,607
09:30;0,803
09:45;0,995
10:00;1.291
10:15;1.487
10:30;1.714
10:45;1.926
11:00;2.149
11:15;2.164
11:30;1.966
11:45;2.634
12:00;1.971
12:15;2.340
12:30;2.227
12:45;1.985
13:00;2.681
13:15;2.322
13:30;2.417
13:45;2.209
14:00;1.150
14:15;2.685
14:30;1.952
14:45;3.008
15:00;2.459
15:15;2.902
15:30;3.690
15:45;3.781
16:00;3.562
16:15;3.356
16:30;3.676
16:45;3.308
17:00;3.250
17:15;1.904
17:30;2.719
17:45;2.102
18:00;2.893
18:15;2.935
18:30;2.457
18:45;1.840
19:00;2.330
19:15;1.522
19:30;1.851
19:45;1.733
20:00;1.188
20:15;0,887
20:30;0,904
20:45;0,672
21:00;0,399
21:15;0,264
21:30;0,133
21:45;0,041
22:00;0,007
22:15;0
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
