 ;SB5.0 / Vermogen / Gemiddelde waarden  [kW]
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;
06:15;0
06:30;0,002
06:45;0,002
07:00;0,015
07:15;0,029
07:30;0,081
07:45;0,079
08:00;0,14
08:15;0,12
08:30;0,2
08:45;0,16
09:00;0,18
09:15;0,25
09:30;0,212
09:45;0,205
10:00;0,347
10:15;0,497
10:30;0,53
10:45;1.116
11:00;1.397
11:15;1.373
11:30;1.945
11:45;0,653
12:00;0,648
12:15;0,719
12:30;1.157
12:45;1.288
13:00;1.536
13:15;2.074
13:30;1.495
13:45;1.135
14:00;1.689
14:15;1.294
14:30;0,78
14:45;1.845
15:00;1.279
15:15;3.431
15:30;2.779
15:45;1.683
16:00;1.914
16:15;2.314
16:30;2.777
16:45;2.449
17:00;3.915
17:15;2.762
17:30;1.625
17:45;1.790
18:00;2.914
18:15;2.990
18:30;2.884
18:45;2.835
19:00;1.205
19:15;2.329
19:30;1.832
19:45;1.583
20:00;1.440
20:15;1.127
20:30;0,665
20:45;0,745
21:00;0,563
21:15;0,314
21:30;0,181
21:45;0,076
22:00;0,008
22:15;0
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
