 ;SB5.0 / Vermogen / Gemiddelde waarden  [kW];
0:15;;
0:30;;
0:45;;
1:00;;
1:15;;
1:30;;
1:45;;
2:00;;
2:15;;
2:30;;
2:45;;
3:00;;
3:15;;
3:30;;
3:45;;
4:00;;
4:15;;
4:30;;
4:45;;
5:00;;
5:15;;
5:30;;
5:45;;
6:00;;
6:15;0,000;
6:30;0,001;
6:45;0,020;
7:00;0,102;
7:15;0,129;
7:30;0,144;
7:45;0,251;
8:00;0,232;
8:15;0,386;
8:30;0,437;
8:45;0,539;
9:00;0,682;
9:15;0,886;
9:30;0,823;
9:45;0,912;
10:00;1,109;
10:15;1,453;
10:30;1,412;
10:45;1,412;
11:00;0,938;
11:15;0,704;
11:30;1,342;
11:45;1,944;
12:00;0,906;
12:15;0,429;
12:30;0,806;
12:45;1,090;
13:00;0,595;
13:15;0,553;
13:30;0,779;
13:45;0,876;
14:00;0,254;
14:15;0,353;
14:30;0,203;
14:45;0,411;
15:00;0,357;
15:15;0,377;
15:30;0,531;
15:45;0,519;
16:00;0,631;
16:15;1,154;
16:30;1,108;
16:45;0,685;
17:00;0,437;
17:15;0,357;
17:30;0,269;
17:45;0,208;
18:00;0,291;
18:15;0,240;
18:30;0,117;
18:45;0,089;
19:00;0,992;
19:15;1,309;
19:30;1,041;
19:45;0,274;
20:00;0,156;
20:15;0,073;
20:30;0,003;
20:45;0,001;
21:00;0,002;
21:15;0,009;
21:30;0,000;
21:45;;
22:00;;
22:15;;
22:30;;
22:45;;
23:00;;
23:15;;
23:30;;
23:45;;
0:00;;
