 ;SB5.0 / Vermogen / Gemiddelde waarden  [kW]
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;0
06:00;0
06:15;0,006
06:30;0,016
06:45;0,066
07:00;0,212
07:15;0,344
07:30;0,292
07:45;0,253
08:00;0,305
08:15;0,373
08:30;0,664
08:45;0,816
09:00;0,909
09:15;0,635
09:30;0,837
09:45;0,912
10:00;1.431
10:15;1.369
10:30;1.482
10:45;1.290
11:00;1.448
11:15;1.483
11:30;1.378
11:45;1.081
12:00;2.249
12:15;1.942
12:30;1.486
12:45;1.618
13:00;2.313
13:15;2.324
13:30;2.069
13:45;1.802
14:00;1.070
14:15;1.254
14:30;0,991
14:45;0,92
15:00;1.316
15:15;1.149
15:30;1.631
15:45;1.464
16:00;1.210
16:15;0,706
16:30;0,858
16:45;0,891
17:00;0,941
17:15;0,863
17:30;1.239
17:45;0,957
18:00;0,607
18:15;0,618
18:30;0,587
18:45;0,574
19:00;0,68
19:15;0,8
19:30;0,623
19:45;0,303
20:00;0,147
20:15;0,095
20:30;0,083
20:45;0,051
21:00;0,015
21:15;0,01
21:30;0,006
21:45;0
22:00;0
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
