 ;SB5.0 / Vermogen / Gemiddelde waarden  [kW]
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;
06:15;0
06:30;0,004
06:45;0,025
07:00;0,095
07:15;0,17
07:30;0,171
07:45;0,151
08:00;0,228
08:15;0,221
08:30;0,238
08:45;0,322
09:00;0,241
09:15;0,448
09:30;0,742
09:45;0,984
10:00;1.412
10:15;1.336
10:30;0,762
10:45;0,968
11:00;0,87
11:15;1.270
11:30;1.075
11:45;0,961
12:00;0,778
12:15;0,442
12:30;0,766
12:45;2.247
13:00;1.324
13:15;1.654
13:30;0,992
13:45;1.976
14:00;2.753
14:15;0,925
14:30;2.675
14:45;2.616
15:00;2.842
15:15;3.114
15:30;3.309
15:45;2.242
16:00;0,553
16:15;0,337
16:30;1.385
16:45;1.070
17:00;1.239
17:15;1.106
17:30;1.799
17:45;2.376
18:00;2.805
18:15;3.078
18:30;2.730
18:45;2.605
19:00;1.834
19:15;2.044
19:30;1.196
19:45;1.041
20:00;1.256
20:15;0,936
20:30;0,239
20:45;0,241
21:00;0,126
21:15;0,049
21:30;0,006
21:45;0
22:00;0
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
