 ;SB5.0 / Vermogen / Gemiddelde waarden  [kW]
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;0
06:15;0
06:30;0,006
06:45;0,031
07:00;0,046
07:15;0,054
07:30;0,093
07:45;0,134
08:00;0,184
08:15;0,208
08:30;0,255
08:45;0,283
09:00;0,353
09:15;0,356
09:30;0,384
09:45;0,503
10:00;0,712
10:15;0,722
10:30;1.011
10:45;0,832
11:00;1.017
11:15;1.004
11:30;0,876
11:45;0,89
12:00;1.052
12:15;1.024
12:30;1.002
12:45;1.277
13:00;0,896
13:15;0,961
13:30;1.091
13:45;1.708
14:00;1.892
14:15;2.276
14:30;2.773
14:45;3.660
15:00;3.354
15:15;2.967
15:30;3.860
15:45;3.697
16:00;3.660
16:15;3.693
16:30;3.570
16:45;3.603
17:00;3.489
17:15;2.075
17:30;3.056
17:45;3.104
18:00;2.373
18:15;0,88
18:30;1.130
18:45;1.235
19:00;2.022
19:15;1.230
19:30;0,805
19:45;0,603
20:00;0,779
20:15;0,521
20:30;0,302
20:45;0,253
21:00;0,179
21:15;0,191
21:30;0,219
21:45;0,089
22:00;0,016
22:15;0
22:30;0
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
