 ;SB5.0 / Vermogen / Gemiddelde waarden  [kW]
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;0
06:15;0,003
06:30;0,022
06:45;0,076
07:00;0,117
07:15;0,101
07:30;0,173
07:45;0,184
08:00;0,216
08:15;0,253
08:30;0,247
08:45;0,301
09:00;0,504
09:15;0,666
09:30;0,92
09:45;1.277
10:00;0,988
10:15;0,963
10:30;1.095
10:45;1.124
11:00;1.354
11:15;1.654
11:30;1.414
11:45;1.806
12:00;0,871
12:15;0,924
12:30;2.122
12:45;3.071
13:00;2.699
13:15;1.487
13:30;1.989
13:45;3.356
14:00;3.415
14:15;0,743
14:30;0,507
14:45;0,663
15:00;0,436
15:15;1.333
15:30;3.979
15:45;3.546
16:00;2.954
16:15;1.625
16:30;1.439
16:45;2.007
17:00;1.034
17:15;1.543
17:30;0,879
17:45;1.086
18:00;1.189
18:15;0,733
18:30;0,735
18:45;2.062
19:00;1.302
19:15;1.348
19:30;0,492
19:45;0,409
20:00;0,316
20:15;0,313
20:30;0,278
20:45;0,641
21:00;0,357
21:15;0,218
21:30;0,061
21:45;0,019
22:00;0
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
