 ;SB5.0 / Vermogen / Gemiddelde waarden  [kW]
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;0
06:15;0
06:30;0,01
06:45;0,027
07:00;0,079
07:15;0,112
07:30;0,133
07:45;0,155
08:00;0,178
08:15;0,193
08:30;0,213
08:45;0,254
09:00;0,366
09:15;0,556
09:30;0,788
09:45;1.026
10:00;1.444
10:15;1.403
10:30;1.641
10:45;1.772
11:00;2.133
11:15;2.288
11:30;2.479
11:45;2.761
12:00;2.935
12:15;3.013
12:30;3.084
12:45;2.267
13:00;3.542
13:15;3.196
13:30;2.728
13:45;2.552
14:00;3.845
14:15;3.225
14:30;3.203
14:45;2.871
15:00;1.626
15:15;3.840
15:30;2.750
15:45;3.382
16:00;2.828
16:15;3.758
16:30;3.410
16:45;2.848
17:00;1.343
17:15;3.645
17:30;2.794
17:45;2.843
18:00;2.477
18:15;2.439
18:30;2.142
18:45;2.243
19:00;1.406
19:15;0,589
19:30;0,431
19:45;0,745
20:00;0,312
20:15;0,473
20:30;0,642
20:45;0,715
21:00;0,4
21:15;0,235
21:30;0,107
21:45;0,021
22:00;0
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
