 ;SB5.0 / Vermogen / Gemiddelde waarden  [kW];
0:15;;
0:30;;
0:45;;
1:00;;
1:15;;
1:30;;
1:45;;
2:00;;
2:15;;
2:30;;
2:45;;
3:00;;
3:15;;
3:30;;
3:45;;
4:00;;
4:15;;
4:30;;
4:45;;
5:00;;
5:15;;
5:30;;
5:45;;
6:00;;
6:15;0,000;
6:30;0,007;
6:45;0,033;
7:00;0,068;
7:15;0,091;
7:30;0,115;
7:45;0,136;
8:00;0,159;
8:15;0,167;
8:30;0,187;
8:45;0,219;
9:00;0,320;
9:15;0,504;
9:30;0,741;
9:45;0,934;
10:00;0,947;
10:15;1,277;
10:30;1,323;
10:45;1,799;
11:00;1,868;
11:15;1,304;
11:30;1,678;
11:45;2,360;
12:00;2,615;
12:15;3,092;
12:30;2,689;
12:45;2,090;
13:00;2,505;
13:15;2,687;
13:30;3,475;
13:45;3,680;
14:00;3,441;
14:15;3,071;
14:30;2,758;
14:45;2,934;
15:00;2,109;
15:15;1,632;
15:30;1,394;
15:45;2,687;
16:00;3,183;
16:15;2,139;
16:30;1,048;
16:45;0,692;
17:00;0,668;
17:15;0,872;
17:30;0,461;
17:45;0,299;
18:00;0,266;
18:15;0,184;
18:30;0,297;
18:45;0,556;
19:00;0,560;
19:15;0,294;
19:30;0,364;
19:45;0,327;
20:00;0,323;
20:15;0,214;
20:30;0,116;
20:45;0,055;
21:00;0,011;
21:15;0,000;
21:30;0,000;
21:45;0,000;
22:00;;
22:15;;
22:30;;
22:45;;
23:00;;
23:15;;
23:30;;
23:45;;
0:00;;
