 ;SB5.0 / Vermogen / Gemiddelde waarden  [kW]
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;0
06:15;0
06:30;0,026
06:45;0,072
07:00;0,12
07:15;0,138
07:30;0,159
07:45;0,201
08:00;0,267
08:15;0,253
08:30;0,248
08:45;0,279
09:00;0,444
09:15;0,619
09:30;0,908
09:45;0,997
10:00;1.002
10:15;1.384
10:30;1.303
10:45;0,96
11:00;0,922
11:15;0,667
11:30;0,374
11:45;0,597
12:00;0,935
12:15;1.286
12:30;1.222
12:45;1.320
13:00;1.361
13:15;2.542
13:30;3.739
13:45;2.606
14:00;3.837
14:15;3.713
14:30;2.895
14:45;1.957
15:00;2.362
15:15;2.113
15:30;2.525
15:45;2.214
16:00;3.530
16:15;3.112
16:30;3.545
16:45;3.285
17:00;3.184
17:15;1.994
17:30;2.728
17:45;2.763
18:00;1.630
18:15;2.223
18:30;2.147
18:45;1.415
19:00;0,617
19:15;0,295
19:30;0,24
19:45;0,218
20:00;0,251
20:15;0,295
20:30;0,439
20:45;0,28
21:00;0,079
21:15;0,042
21:30;0,026
21:45;0,013
22:00;0
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
