 ;SB5.0 / Vermogen / Gemiddelde waarden  [kW]
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;0
06:15;0
06:30;0,012
06:45;0,022
07:00;0,028
07:15;0,016
07:30;0
07:45;0,017
08:00;0,058
08:15;0,111
08:30;0,093
08:45;0,135
09:00;0,325
09:15;0,161
09:30;0,243
09:45;0,396
10:00;1.005
10:15;1.199
10:30;1.158
10:45;1.622
11:00;1.792
11:15;1.805
11:30;2.232
11:45;2.375
12:00;2.360
12:15;2.576
12:30;3.048
12:45;3.066
13:00;3.271
13:15;3.315
13:30;3.319
13:45;3.172
14:00;2.998
14:15;3.464
14:30;3.400
14:45;3.672
15:00;3.683
15:15;3.483
15:30;3.131
15:45;1.431
16:00;1.953
16:15;2.393
16:30;1.927
16:45;2.323
17:00;2.447
17:15;1.363
17:30;1.917
17:45;2.270
18:00;2.695
18:15;1.690
18:30;2.176
18:45;1.866
19:00;1.806
19:15;1.843
19:30;1.747
19:45;1.382
20:00;1.077
20:15;0,778
20:30;0,493
20:45;0,339
21:00;0,405
21:15;0,271
21:30;0,089
21:45;0,017
22:00;0
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
