 ;SB5.0 / Vermogen / Gemiddelde waarden  [kW];
0:15;;
0:30;;
0:45;;
1:00;;
1:15;;
1:30;;
1:45;;
2:00;;
2:15;;
2:30;;
2:45;;
3:00;;
3:15;;
3:30;;
3:45;;
4:00;;
4:15;;
4:30;;
4:45;;
5:00;;
5:15;;
5:30;;
5:45;;
6:00;;
6:15;;
6:30;;
6:45;;
7:00;;
7:15;;
7:30;0,000;
7:45;0,006;
8:00;0,057;
8:15;0,092;
8:30;0,126;
8:45;0,155;
9:00;0,198;
9:15;0,263;
9:30;0,416;
9:45;0,644;
10:00;0,930;
10:15;1,132;
10:30;1,540;
10:45;1,934;
11:00;1,259;
11:15;0,772;
11:30;0,720;
11:45;0,362;
12:00;0,972;
12:15;1,071;
12:30;1,021;
12:45;1,088;
13:00;1,076;
13:15;2,720;
13:30;3,560;
13:45;3,003;
14:00;2,118;
14:15;1,556;
14:30;1,067;
14:45;2,533;
15:00;0,602;
15:15;1,455;
15:30;0,924;
15:45;0,516;
16:00;0,429;
16:15;0,262;
16:30;0,278;
16:45;0,241;
17:00;1,029;
17:15;1,067;
17:30;1,028;
17:45;1,349;
18:00;0,569;
18:15;0,292;
18:30;0,115;
18:45;0,060;
19:00;0,049;
19:15;0,020;
19:30;0,013;
19:45;0,009;
20:00;0,008;
20:15;0,000;
20:30;;
20:45;;
21:00;;
21:15;;
21:30;;
21:45;;
22:00;;
22:15;;
22:30;;
22:45;;
23:00;;
23:15;;
23:30;;
23:45;;
0:00;;
