 ;SB5.0 / Vermogen / Gemiddelde waarden  [kW];
0:15;;
0:30;;
0:45;;
1:00;;
1:15;;
1:30;;
1:45;;
2:00;;
2:15;;
2:30;;
2:45;;
3:00;;
3:15;;
3:30;;
3:45;;
4:00;;
4:15;;
4:30;;
4:45;;
5:00;;
5:15;;
5:30;;
5:45;;
6:00;;
6:15;;
6:30;;
6:45;;
7:00;;
7:15;;
7:30;0,000;
7:45;0,014;
8:00;0,084;
8:15;0,064;
8:30;0,115;
8:45;0,139;
9:00;0,180;
9:15;0,257;
9:30;0,504;
9:45;0,407;
10:00;0,789;
10:15;0,968;
10:30;1,147;
10:45;1,473;
11:00;1,661;
11:15;1,360;
11:30;1,973;
11:45;1,664;
12:00;1,601;
12:15;1,948;
12:30;1,779;
12:45;1,034;
13:00;0,320;
13:15;0,287;
13:30;0,500;
13:45;3,057;
14:00;3,022;
14:15;2,245;
14:30;1,802;
14:45;2,926;
15:00;2,089;
15:15;2,893;
15:30;3,642;
15:45;3,468;
16:00;3,623;
16:15;2,353;
16:30;1,967;
16:45;2,739;
17:00;1,388;
17:15;2,100;
17:30;0,720;
17:45;2,076;
18:00;1,700;
18:15;2,105;
18:30;1,427;
18:45;1,089;
19:00;1,162;
19:15;0,902;
19:30;0,385;
19:45;0,323;
20:00;0,056;
20:15;0,006;
20:30;;
20:45;;
21:00;;
21:15;;
21:30;;
21:45;;
22:00;;
22:15;;
22:30;;
22:45;;
23:00;;
23:15;;
23:30;;
23:45;;
0:00;;
