 ;SB5.0 / Vermogen / Gemiddelde waarden  [kW];
0:15;;
0:30;;
0:45;;
1:00;;
1:15;;
1:30;;
1:45;;
2:00;;
2:15;;
2:30;;
2:45;;
3:00;;
3:15;;
3:30;;
3:45;;
4:00;;
4:15;;
4:30;;
4:45;;
5:00;;
5:15;;
5:30;;
5:45;;
6:00;;
6:15;;
6:30;;
6:45;;
7:00;;
7:15;0,000;
7:30;0,012;
7:45;0,052;
8:00;0,106;
8:15;0,143;
8:30;0,187;
8:45;0,229;
9:00;0,283;
9:15;0,375;
9:30;0,582;
9:45;0,789;
10:00;1,090;
10:15;1,333;
10:30;1,449;
10:45;1,703;
11:00;1,886;
11:15;2,109;
11:30;2,250;
11:45;2,420;
12:00;2,877;
12:15;2,917;
12:30;2,269;
12:45;2,816;
13:00;3,023;
13:15;2,754;
13:30;3,093;
13:45;2,661;
14:00;2,872;
14:15;3,058;
14:30;3,375;
14:45;2,549;
15:00;2,468;
15:15;2,006;
15:30;1,869;
15:45;2,532;
16:00;2,394;
16:15;2,486;
16:30;2,548;
16:45;2,222;
17:00;1,881;
17:15;1,599;
17:30;2,363;
17:45;1,374;
18:00;1,650;
18:15;1,241;
18:30;0,718;
18:45;0,709;
19:00;0,637;
19:15;0,394;
19:30;0,224;
19:45;0,109;
20:00;0,051;
20:15;0,017;
20:30;0,000;
20:45;;
21:00;;
21:15;;
21:30;;
21:45;;
22:00;;
22:15;;
22:30;;
22:45;;
23:00;;
23:15;;
23:30;;
23:45;;
0:00;;
