 ;SB5.0 / Vermogen / Gemiddelde waarden  [kW];
0:15;;
0:30;;
0:45;;
1:00;;
1:15;;
1:30;;
1:45;;
2:00;;
2:15;;
2:30;;
2:45;;
3:00;;
3:15;;
3:30;;
3:45;;
4:00;;
4:15;;
4:30;;
4:45;;
5:00;;
5:15;;
5:30;;
5:45;;
6:00;;
6:15;;
6:30;;
6:45;;
7:00;;
7:15;;
7:30;;
7:45;;
8:00;0,000;
8:15;0,000;
8:30;0,010;
8:45;0,033;
9:00;0,058;
9:15;0,086;
9:30;0,089;
9:45;0,102;
10:00;0,101;
10:15;0,142;
10:30;0,241;
10:45;0,281;
11:00;0,213;
11:15;0,170;
11:30;0,231;
11:45;0,333;
12:00;0,386;
12:15;0,485;
12:30;0,407;
12:45;0,254;
13:00;0,054;
13:15;0,184;
13:30;0,414;
13:45;0,573;
14:00;0,738;
14:15;0,973;
14:30;1,164;
14:45;1,512;
15:00;2,436;
15:15;2,565;
15:30;2,619;
15:45;2,753;
16:00;3,345;
16:15;2,638;
16:30;3,351;
16:45;3,156;
17:00;2,910;
17:15;2,520;
17:30;2,227;
17:45;1,833;
18:00;1,030;
18:15;1,279;
18:30;0,434;
18:45;0,307;
19:00;0,131;
19:15;0,047;
19:30;0,000;
19:45;;
20:00;;
20:15;;
20:30;;
20:45;;
21:00;;
21:15;;
21:30;;
21:45;;
22:00;;
22:15;;
22:30;;
22:45;;
23:00;;
23:15;;
23:30;;
23:45;;
0:00;;
