 ;SB5.0 / Vermogen / Gemiddelde waarden  [kW];
0:15;;
0:30;;
0:45;;
1:00;;
1:15;;
1:30;;
1:45;;
2:00;;
2:15;;
2:30;;
2:45;;
3:00;;
3:15;;
3:30;;
3:45;;
4:00;;
4:15;;
4:30;;
4:45;;
5:00;;
5:15;;
5:30;;
5:45;;
6:00;;
6:15;;
6:30;;
6:45;;
7:00;;
7:15;0,000;
7:30;0,013;
7:45;0,063;
8:00;0,103;
8:15;0,105;
8:30;0,160;
8:45;0,270;
9:00;0,420;
9:15;0,628;
9:30;0,804;
9:45;0,477;
10:00;0,598;
10:15;0,739;
10:30;1,483;
10:45;0,827;
11:00;0,544;
11:15;0,529;
11:30;0,422;
11:45;0,286;
12:00;0,261;
12:15;0,286;
12:30;0,498;
12:45;0,598;
13:00;0,578;
13:15;0,672;
13:30;0,946;
13:45;1,522;
14:00;3,631;
14:15;3,241;
14:30;2,338;
14:45;1,490;
15:00;0,619;
15:15;1,669;
15:30;2,310;
15:45;0,934;
16:00;1,129;
16:15;1,396;
16:30;1,059;
16:45;0,433;
17:00;0,776;
17:15;1,287;
17:30;1,609;
17:45;1,180;
18:00;0,917;
18:15;1,328;
18:30;0,981;
18:45;0,748;
19:00;0,232;
19:15;0,207;
19:30;0,151;
19:45;0,097;
20:00;0,031;
20:15;0,007;
20:30;;
20:45;;
21:00;;
21:15;;
21:30;;
21:45;;
22:00;;
22:15;;
22:30;;
22:45;;
23:00;;
23:15;;
23:30;;
23:45;;
0:00;;
