 ;SB5.0 / Vermogen / Gemiddelde waarden  [kW];
0:15;;
0:30;;
0:45;;
1:00;;
1:15;;
1:30;;
1:45;;
2:00;;
2:15;;
2:30;;
2:45;;
3:00;;
3:15;;
3:30;;
3:45;;
4:00;;
4:15;;
4:30;;
4:45;;
5:00;;
5:15;;
5:30;;
5:45;;
6:00;;
6:15;;
6:30;;
6:45;;
7:00;;
7:15;;
7:30;;
7:45;0,000;
8:00;0,010;
8:15;0,052;
8:30;0,112;
8:45;0,148;
9:00;0,210;
9:15;0,265;
9:30;0,363;
9:45;0,515;
10:00;0,733;
10:15;0,928;
10:30;1,214;
10:45;1,422;
11:00;1,657;
11:15;1,894;
11:30;2,109;
11:45;2,321;
12:00;2,542;
12:15;2,708;
12:30;2,806;
12:45;2,625;
13:00;2,826;
13:15;2,866;
13:30;2,874;
13:45;3,001;
14:00;3,101;
14:15;3,138;
14:30;3,054;
14:45;3,170;
15:00;3,031;
15:15;2,800;
15:30;2,513;
15:45;2,957;
16:00;3,008;
16:15;2,799;
16:30;2,628;
16:45;2,339;
17:00;1,622;
17:15;1,278;
17:30;1,194;
17:45;0,957;
18:00;0,597;
18:15;0,405;
18:30;0,296;
18:45;0,205;
19:00;0,113;
19:15;0,072;
19:30;0,028;
19:45;0,002;
20:00;;
20:15;;
20:30;;
20:45;;
21:00;;
21:15;;
21:30;;
21:45;;
22:00;;
22:15;;
22:30;;
22:45;;
23:00;;
23:15;;
23:30;;
23:45;;
0:00;;
