 ;SB5.0 / Vermogen / Gemiddelde waarden  [kW];
0:15;;
0:30;;
0:45;;
1:00;;
1:15;;
1:30;;
1:45;;
2:00;;
2:15;;
2:30;;
2:45;;
3:00;;
3:15;;
3:30;;
3:45;;
4:00;;
4:15;;
4:30;;
4:45;;
5:00;;
5:15;;
5:30;;
5:45;;
6:00;;
6:15;;
6:30;;
6:45;;
7:00;;
7:15;0,000;
7:30;0,000;
7:45;0,017;
8:00;0,070;
8:15;0,120;
8:30;0,167;
8:45;0,254;
9:00;0,328;
9:15;0,439;
9:30;0,458;
9:45;0,606;
10:00;0,768;
10:15;0,826;
10:30;0,942;
10:45;1,218;
11:00;1,250;
11:15;1,103;
11:30;1,034;
11:45;0,998;
12:00;0,715;
12:15;0,650;
12:30;1,043;
12:45;0,950;
13:00;1,217;
13:15;0,555;
13:30;0,184;
13:45;0,498;
14:00;1,886;
14:15;2,648;
14:30;0,593;
14:45;2,070;
15:00;2,215;
15:15;1,521;
15:30;1,057;
15:45;1,178;
16:00;1,499;
16:15;2,423;
16:30;2,770;
16:45;1,433;
17:00;1,238;
17:15;0,628;
17:30;0,484;
17:45;0,306;
18:00;0,482;
18:15;0,455;
18:30;0,086;
18:45;0,038;
19:00;0,097;
19:15;0,099;
19:30;0,072;
19:45;0,060;
20:00;0,031;
20:15;0,013;
20:30;0,000;
20:45;0,000;
21:00;;
21:15;;
21:30;;
21:45;;
22:00;;
22:15;;
22:30;;
22:45;;
23:00;;
23:15;;
23:30;;
23:45;;
0:00;;
