 ;SB5.0 / Vermogen / Gemiddelde waarden  [kW];
00:15;;
00:30;;
00:45;;
01:00;;
01:15;;
01:30;;
01:45;;
02:00;;
02:15;;
02:30;;
02:45;;
03:00;;
03:15;;
03:30;;
03:45;;
04:00;;
04:15;;
04:30;;
04:45;;
05:00;;
05:15;;
05:30;;
05:45;;
06:00;;
06:15;;
06:30;;
06:45;;
07:00;;
07:15;0,000;
07:30;0,005;
07:45;0,033;
08:00;0,081;
08:15;0,123;
08:30;0,189;
08:45;0,220;
09:00;0,254;
09:15;0,326;
09:30;0,464;
09:45;0,649;
10:00;0,886;
10:15;1,118;
10:30;1,322;
10:45;1,420;
11:00;1,875;
11:15;2,048;
11:30;2,303;
11:45;2,500;
12:00;2,758;
12:15;2,487;
12:30;2,839;
12:45;2,934;
13:00;2,511;
13:15;2,875;
13:30;3,491;
13:45;3,452;
14:00;3,488;
14:15;3,321;
14:30;2,828;
14:45;3,008;
15:00;3,644;
15:15;3,515;
15:30;3,509;
15:45;3,360;
16:00;3,493;
16:15;3,178;
16:30;3,250;
16:45;3,091;
17:00;3,179;
17:15;2,700;
17:30;1,696;
17:45;1,052;
18:00;0,696;
18:15;0,870;
18:30;2,110;
18:45;0,923;
19:00;0,789;
19:15;0,402;
19:30;0,096;
19:45;0,064;
20:00;0,122;
20:15;0,069;
20:30;0,005;
20:45;;
21:00;;
21:15;;
21:30;;
21:45;;
22:00;;
22:15;;
22:30;;
22:45;;
23:00;;
23:15;;
23:30;;
23:45;;
00:00;;
