 ;SB5.0 / Vermogen / Gemiddelde waarden  [kW];
00:15;;
00:30;;
00:45;;
01:00;;
01:15;;
01:30;;
01:45;;
02:00;;
02:15;;
02:30;;
02:45;;
03:00;;
03:15;;
03:30;;
03:45;;
04:00;;
04:15;;
04:30;;
04:45;;
05:00;;
05:15;;
05:30;;
05:45;;
06:00;;
06:15;;
06:30;;
06:45;0,000;
07:00;0,001;
07:15;0,023;
07:30;0,059;
07:45;0,097;
08:00;0,135;
08:15;0,158;
08:30;0,175;
08:45;0,196;
09:00;0,248;
09:15;0,366;
09:30;0,633;
09:45;0,770;
10:00;0,983;
10:15;1,220;
10:30;1,571;
10:45;1,710;
11:00;1,803;
11:15;2,254;
11:30;2,484;
11:45;2,534;
12:00;2,834;
12:15;3,003;
12:30;3,116;
12:45;3,208;
13:00;3,349;
13:15;3,467;
13:30;3,514;
13:45;3,567;
14:00;3,677;
14:15;3,651;
14:30;3,652;
14:45;3,608;
15:00;3,603;
15:15;3,638;
15:30;3,640;
15:45;3,575;
16:00;3,570;
16:15;3,546;
16:30;3,425;
16:45;3,398;
17:00;3,297;
17:15;3,135;
17:30;2,967;
17:45;2,857;
18:00;2,635;
18:15;2,089;
18:30;1,861;
18:45;1,848;
19:00;1,460;
19:15;1,206;
19:30;1,162;
19:45;1,061;
20:00;0,840;
20:15;0,502;
20:30;0,166;
20:45;0,049;
21:00;0,006;
21:15;;
21:30;;
21:45;;
22:00;;
22:15;;
22:30;;
22:45;;
23:00;;
23:15;;
23:30;;
23:45;;
00:00;;
