 ;SB5.0 / Vermogen / Gemiddelde waarden  [kW];
00:15;;
00:30;;
00:45;;
01:00;;
01:15;;
01:30;;
01:45;;
02:00;;
02:15;;
02:30;;
02:45;;
03:00;;
03:15;;
03:30;;
03:45;;
04:00;;
04:15;;
04:30;;
04:45;;
05:00;;
05:15;;
05:30;;
05:45;;
06:00;;
06:15;;
06:30;;
06:45;0,001;
07:00;0,015;
07:15;0,075;
07:30;0,163;
07:45;0,208;
08:00;0,261;
08:15;0,316;
08:30;0,380;
08:45;0,567;
09:00;0,790;
09:15;0,788;
09:30;0,814;
09:45;0,848;
10:00;0,885;
10:15;1,011;
10:30;0,982;
10:45;1,182;
11:00;1,559;
11:15;1,784;
11:30;1,208;
11:45;1,269;
12:00;1,300;
12:15;1,696;
12:30;2,169;
12:45;2,353;
13:00;2,444;
13:15;1,488;
13:30;3,073;
13:45;1,855;
14:00;1,898;
14:15;2,538;
14:30;2,197;
14:45;2,242;
15:00;2,772;
15:15;2,069;
15:30;3,410;
15:45;1,632;
16:00;0,988;
16:15;1,187;
16:30;1,917;
16:45;1,583;
17:00;1,695;
17:15;1,385;
17:30;1,943;
17:45;2,217;
18:00;0,901;
18:15;0,617;
18:30;1,111;
18:45;0,822;
19:00;0,135;
19:15;0,204;
19:30;0,213;
19:45;0,327;
20:00;0,085;
20:15;0,033;
20:30;0,013;
20:45;0,002;
21:00;0,000;
21:15;;
21:30;;
21:45;;
22:00;;
22:15;;
22:30;;
22:45;;
23:00;;
23:15;;
23:30;;
23:45;;
00:00;;
