 ;SB5.0 / Vermogen / Gemiddelde waarden  [kW];
00:15;;
00:30;;
00:45;;
01:00;;
01:15;;
01:30;;
01:45;;
02:00;;
02:15;;
02:30;;
02:45;;
03:00;;
03:15;;
03:30;;
03:45;;
04:00;;
04:15;;
04:30;;
04:45;;
05:00;;
05:15;;
05:30;;
05:45;;
06:00;;
06:15;;
06:30;;
06:45;0,000;
07:00;0,015;
07:15;0,051;
07:30;0,120;
07:45;0,179;
08:00;0,223;
08:15;0,183;
08:30;0,234;
08:45;0,261;
09:00;0,378;
09:15;0,651;
09:30;0,818;
09:45;1,038;
10:00;0,966;
10:15;1,560;
10:30;1,455;
10:45;2,002;
11:00;2,468;
11:15;1,581;
11:30;0,840;
11:45;1,480;
12:00;1,368;
12:15;1,748;
12:30;3,649;
12:45;3,139;
13:00;3,209;
13:15;1,104;
13:30;0,689;
13:45;4,130;
14:00;1,570;
14:15;3,791;
14:30;4,143;
14:45;3,186;
15:00;3,780;
15:15;3,121;
15:30;4,188;
15:45;3,913;
16:00;3,874;
16:15;2,961;
16:30;4,122;
16:45;2,315;
17:00;1,424;
17:15;2,454;
17:30;3,048;
17:45;1,965;
18:00;2,603;
18:15;2,905;
18:30;2,276;
18:45;2,409;
19:00;1,882;
19:15;1,481;
19:30;1,388;
19:45;1,107;
20:00;0,877;
20:15;0,289;
20:30;0,142;
20:45;0,104;
21:00;0,023;
21:15;0,000;
21:30;;
21:45;;
22:00;;
22:15;;
22:30;;
22:45;;
23:00;;
23:15;;
23:30;;
23:45;;
00:00;;
