 ;SB5.0 / Vermogen / Gemiddelde waarden  [kW];
00:15;;
00:30;;
00:45;;
01:00;;
01:15;;
01:30;;
01:45;;
02:00;;
02:15;;
02:30;;
02:45;;
03:00;;
03:15;;
03:30;;
03:45;;
04:00;;
04:15;;
04:30;;
04:45;;
05:00;;
05:15;;
05:30;;
05:45;;
06:00;;
06:15;;
06:30;;
06:45;;
07:00;0,000;
07:15;0,002;
07:30;0,036;
07:45;0,079;
08:00;0,139;
08:15;0,212;
08:30;0,318;
08:45;0,348;
09:00;0,457;
09:15;0,600;
09:30;0,756;
09:45;0,819;
10:00;0,879;
10:15;1,068;
10:30;1,439;
10:45;1,613;
11:00;1,728;
11:15;1,819;
11:30;1,857;
11:45;1,982;
12:00;2,286;
12:15;2,144;
12:30;2,571;
12:45;1,951;
13:00;2,405;
13:15;2,601;
13:30;2,691;
13:45;2,804;
14:00;2,144;
14:15;1,705;
14:30;2,600;
14:45;2,188;
15:00;1,952;
15:15;2,300;
15:30;2,784;
15:45;2,322;
16:00;2,089;
16:15;2,473;
16:30;1,847;
16:45;2,710;
17:00;3,044;
17:15;2,020;
17:30;1,041;
17:45;0,707;
18:00;0,497;
18:15;0,359;
18:30;0,367;
18:45;0,234;
19:00;0,223;
19:15;0,310;
19:30;0,252;
19:45;0,156;
20:00;0,006;
20:15;0,008;
20:30;0,004;
20:45;;
21:00;;
21:15;;
21:30;;
21:45;;
22:00;;
22:15;;
22:30;;
22:45;;
23:00;;
23:15;;
23:30;;
23:45;;
00:00;;
