 ;SB5.0 / Vermogen / Gemiddelde waarden  [kW];
0:15;;
0:30;;
0:45;;
1:00;;
1:15;;
1:30;;
1:45;;
2:00;;
2:15;;
2:30;;
2:45;;
3:00;;
3:15;;
3:30;;
3:45;;
4:00;;
4:15;;
4:30;;
4:45;;
5:00;;
5:15;;
5:30;;
5:45;;
6:00;;
6:15;;
6:30;;
6:45;;
7:00;;
7:15;;
7:30;;
7:45;;
8:00;;
8:15;;
8:30;0,000;
8:45;0,000;
9:00;0,012;
9:15;0,054;
9:30;0,037;
9:45;0,143;
10:00;0,665;
10:15;0,766;
10:30;0,949;
10:45;1,169;
11:00;1,228;
11:15;1,438;
11:30;1,872;
11:45;1,447;
12:00;1,835;
12:15;0,716;
12:30;1,448;
12:45;1,141;
13:00;1,031;
13:15;0,711;
13:30;1,312;
13:45;1,751;
14:00;1,437;
14:15;0,589;
14:30;0,789;
14:45;0,511;
15:00;0,487;
15:15;0,302;
15:30;0,063;
15:45;0,087;
16:00;0,096;
16:15;0,051;
16:30;0,017;
16:45;0,002;
17:00;;
17:15;;
17:30;;
17:45;;
18:00;;
18:15;;
18:30;;
18:45;;
19:00;;
19:15;;
19:30;;
19:45;;
20:00;;
20:15;;
20:30;;
20:45;;
21:00;;
21:15;;
21:30;;
21:45;;
22:00;;
22:15;;
22:30;;
22:45;;
23:00;;
23:15;;
23:30;;
23:45;;
0:00;;
