 ;SB5.0 / Vermogen / Gemiddelde waarden  [kW];
0:15;;
0:30;;
0:45;;
1:00;;
1:15;;
1:30;;
1:45;;
2:00;;
2:15;;
2:30;;
2:45;;
3:00;;
3:15;;
3:30;;
3:45;;
4:00;;
4:15;;
4:30;;
4:45;;
5:00;;
5:15;;
5:30;;
5:45;;
6:00;;
6:15;;
6:30;;
6:45;;
7:00;;
7:15;;
7:30;;
7:45;;
8:00;0,000;
8:15;0,002;
8:30;0,032;
8:45;0,078;
9:00;0,173;
9:15;0,277;
9:30;0,390;
9:45;0,470;
10:00;0,858;
10:15;0,836;
10:30;1,336;
10:45;1,457;
11:00;1,068;
11:15;1,155;
11:30;1,191;
11:45;2,174;
12:00;2,012;
12:15;2,338;
12:30;2,521;
12:45;2,644;
13:00;1,429;
13:15;0,752;
13:30;0,386;
13:45;0,546;
14:00;0,910;
14:15;0,585;
14:30;0,489;
14:45;0,458;
15:00;0,421;
15:15;0,452;
15:30;0,602;
15:45;1,073;
16:00;0,329;
16:15;0,274;
16:30;0,103;
16:45;0,008;
17:00;0,000;
17:15;0,000;
17:30;;
17:45;;
18:00;;
18:15;;
18:30;;
18:45;;
19:00;;
19:15;;
19:30;;
19:45;;
20:00;;
20:15;;
20:30;;
20:45;;
21:00;;
21:15;;
21:30;;
21:45;;
22:00;;
22:15;;
22:30;;
22:45;;
23:00;;
23:15;;
23:30;;
23:45;;
0:00;;
