 ;SB5.0 / Vermogen / Gemiddelde waarden  [kW];
0:15;;
0:30;;
0:45;;
1:00;;
1:15;;
1:30;;
1:45;;
2:00;;
2:15;;
2:30;;
2:45;;
3:00;;
3:15;;
3:30;;
3:45;;
4:00;;
4:15;;
4:30;;
4:45;;
5:00;;
5:15;;
5:30;;
5:45;;
6:00;;
6:15;;
6:30;;
6:45;;
7:00;;
7:15;;
7:30;;
7:45;0,000;
8:00;0,002;
8:15;0,022;
8:30;0,060;
8:45;0,164;
9:00;0,193;
9:15;0,213;
9:30;0,356;
9:45;0,440;
10:00;0,791;
10:15;1,217;
10:30;1,411;
10:45;1,243;
11:00;1,038;
11:15;1,129;
11:30;0,688;
11:45;0,621;
12:00;0,472;
12:15;0,401;
12:30;0,263;
12:45;0,203;
13:00;0,113;
13:15;0,159;
13:30;0,165;
13:45;0,165;
14:00;0,121;
14:15;0,103;
14:30;0,119;
14:45;0,099;
15:00;0,087;
15:15;0,049;
15:30;0,055;
15:45;0,160;
16:00;0,140;
16:15;0,163;
16:30;0,027;
16:45;0,015;
17:00;0,000;
17:15;;
17:30;;
17:45;;
18:00;;
18:15;;
18:30;;
18:45;;
19:00;;
19:15;;
19:30;;
19:45;;
20:00;;
20:15;;
20:30;;
20:45;;
21:00;;
21:15;;
21:30;;
21:45;;
22:00;;
22:15;;
22:30;;
22:45;;
23:00;;
23:15;;
23:30;;
23:45;;
0:00;;
